Date,Product,Customer_Category
01/01/2023,"['Body wash', 'Orange', 'Laundry Detergent', 'Kambu Rice','Mop']",Middle-Aged
01/01/2023,"['Paper Towel For Faces', 'Yogurt', 'Pasta', 'Jam','Bread', 'Soda']",Senior Citizen
01/01/2023,"['Yogurt', 'Tomatoes', 'Curd', 'Juices','Chips']",Homemaker
01/01/2023,"['Black pepper', 'Cereal Bars']",Senior Citizen
01/01/2023,"['Black pepper', 'Cereal', 'Tomatoes']",Homemaker
01/01/2023,"['Apple', 'Soap', 'Spinach']",Middle-Aged
01/01/2023,"['Baby Wipes', 'Insect Repellent', 'Vinegar']",Homemaker
01/01/2023,"['Chocolate', 'Sugar']",Middle-Aged
01/01/2023,"['Cereal Bars', 'Mop', 'Laundry Detergent', 'Cereal']",Senior Citizen
01/01/2023,"['Kambu Rice', 'Coconut oil', 'Coffee','Biscuit']",Senior Citizen
01/01/2023,"['Shampoo', 'Sugar', 'Soda', 'Mustard']",Young Adult
01/01/2023,"['Body wash', 'Onions', Salt]",Young Adult
01/01/2023,"['Saftey Razor Blade', 'Ketchup']",Teenager
01/01/2023,"['Yogurt', 'Ice Cream', 'Deodorant']",Senior Citizen
01/01/2023,['Shower Gel'],Teenager
01/01/2023,"['Milk', 'Cereal']",Middle-Aged
01/01/2023,"['Hair Gel', 'Hand Sanitizer', 'Cereal Bars']",Teenager
01/01/2023,['Hand Sanitizer'],Teenager
01/01/2023,"['Cereal Bars', 'Chocolate', 'Tissues', 'Pickles']",Homemaker
01/01/2023,"['Potatoes', 'Dishwash scrubber', 'Chips']",Senior Citizen
01/01/2023,['Paper Towel For Faces'],Teenager
01/01/2023,"['Wheat Rava', 'Toothpaste',  'Tongue Cleaner', 'Baby Wipes', 'Vinegar', 'Onions']",Senior Citizen
01/01/2023,"['Cheese', 'Hand Sanitizer', 'Cereal Bars', 'Toothpaste',  'Tongue Cleaner', 'Vinegar']",Senior Citizen
01/01/2023,"['Mustard', 'Potatoes']",Young Adult
01/01/2023,"['Bread', 'Cooking Oil', 'Eggs']",Senior Citizen
01/01/2023,"['Shower Gel', 'Toothpaste',  'Tongue Cleaner', 'Ragi Malt']",Senior Citizen
01/01/2023,"['Tea','Biscuit', 'Air Freshener', 'Vinegar', 'Stationery', 'Rice','Spices']",Middle-Aged
01/01/2023,"['Chocolate', 'Coffee','Biscuit', 'Tea','Biscuit', 'Cleaner', 'Milk']",Young Adult
01/01/2023,"['Onions', 'Deodorant', 'Plant Fertilizer']",Senior Citizen
01/01/2023,"['Shower Gel', 'Soda']",Young Adult
01/01/2023,"['Feminine Hygiene Products','Paper Towel for Faces']",Teenager
01/01/2023,"['Wheat Rava', Salt, 'Soda', 'Tissues', 'Banana']",Young Adult
01/01/2023,"['Dhal', 'Insect Repellent', 'Light Bulbs']",Young Adult
01/01/2023,"['Baby Wipes', 'Onions', 'Pasta', 'Dustpan', 'Cereal Bars']",Middle-Aged
01/01/2023,"['Sugar', 'Ragi Malt', 'Toothbrush']",Middle-Aged
01/01/2023,"['Chips', 'Toothpaste',  'Tongue Cleaner', 'Feminine Hygiene Products','Paper Towel for Faces']",Senior Citizen
01/01/2023,['Yogurt'],Middle-Aged
01/01/2023,"['Diapers', 'Laundry Detergent', 'Carrots', 'Milk', 'Toothbrush']",Middle-Aged
01/01/2023,"['Cooking Oil', 'Cheese', 'Cereal Bars', 'Wheat Rava', 'Cleaner']",Middle-Aged
01/01/2023,"['Cheese', 'Saftey Razor Blade']",Young Adult
01/01/2023,"['Stationery', 'Apple', 'Coconut oil', 'Wheat Rava']",Senior Citizen
01/01/2023,['Olive Oil'],Young Adult
01/01/2023,"['Cleaner', 'Dustpan', 'Bread', 'Hair Gel', 'Black pepper']",Middle-Aged
01/01/2023,"['Dishwash scrubber', 'Power Strips', 'Bread']",Middle-Aged
01/01/2023,"['Cheese', 'Baby Wipes', 'Toothpaste',  'Tongue Cleaner', 'Vegetables', 'Jam','Bread']",Senior Citizen
01/01/2023,"['Orange', 'Sugar', 'Tomatoes']",Young Adult
01/01/2023,"['Cooking Oil', 'Air Freshener', 'Dish Soap', 'Stationery', 'Dhal']",Young Adult
01/01/2023,"['Sugar', 'Stationery', 'Baby Wipes', 'Cooking Oil', 'Paper Towel For Faces']",Senior Citizen
01/01/2023,['Bread'],Young Adult
01/01/2023,['Soda'],Young Adult
01/01/2023,"['Olive Oil', 'Nuts', 'Banana', 'Toothpaste',  'Tongue Cleaner']",Homemaker
01/01/2023,"['Rice','Spices']",Teenager
01/01/2023,"['Semiya', 'Tissues', 'Stationery', 'Rice','Spices', 'Sugar']",Middle-Aged
01/01/2023,"['Plant Fertilizer', 'Chocolate']",Middle-Aged
01/01/2023,"['Juices','Chips']",Middle-Aged
01/01/2023,"['Soda', 'Milk', 'Dishwash scrubber', 'Power Strips', 'Coconut oil']",Senior Citizen
01/01/2023,"['Toothbrush', 'Cereal', 'Insect Repellent']",Middle-Aged
01/01/2023,['Body wash'],Middle-Aged
01/01/2023,['Vinegar'],Young Adult
01/01/2023,"['Tissues', 'Milk', 'Cheese', 'Saftey Razor Blade', 'Dishwash scrubber']",Middle-Aged
01/01/2023,"['Chips', 'Apple']",Homemaker
01/01/2023,"['Tomatoes', 'Kambu Rice', 'Paper Towel For Faces']",Middle-Aged
01/01/2023,"['Coffee','Biscuit']",Senior Citizen
01/01/2023,"['Chocolate', 'Dustpan']",Senior Citizen
01/01/2023,"['Shampoo', 'Toilet Freshner', 'Olive Oil', 'Trash Bags', 'Cleaner']",Middle-Aged
01/01/2023,"['Shampoo', 'Cereal']",Homemaker
01/01/2023,"['Plant Fertilizer', 'Toothbrush', 'Bread', 'Vinegar', 'Spices']",Homemaker
01/01/2023,"['Paper Towel For Faces', 'Vinegar', 'Trash Bags']",Senior Citizen
01/01/2023,['Spices'],Senior Citizen
01/01/2023,"['Ice Cream', 'Spinach', 'Mop']",Middle-Aged
01/01/2023,"[Salt, 'Plant Fertilizer']",Middle-Aged
01/01/2023,"['Dish Soap', 'Ketchup', 'Air Freshener', 'Yogurt']",Middle-Aged
01/01/2023,['Plant Fertilizer'],Middle-Aged
01/01/2023,['Cleaning Spray'],Middle-Aged
01/01/2023,"['Soda', 'Hand Sanitizer', 'Ketchup']",Homemaker
01/01/2023,['Onions'],Middle-Aged
01/01/2023,"['Soda', 'Toothpaste',  'Tongue Cleaner', 'Spinach', 'Paper Towel For Faces']",Young Adult
01/01/2023,"['Toothbrush', 'Eggs', 'Milk', 'Baby Wipes', 'Ice Cream']",Senior Citizen
01/01/2023,"['Milk', 'Tea','Biscuit', 'Tomatoes']",Teenager
01/01/2023,"['Tissues', 'Pickles', 'Tissues', 'Kambu Rice', 'Yogurt']",Senior Citizen
01/01/2023,"['Rice','Spices', 'Milk', 'Saftey Razor Blade', 'Baby Wipes']",Senior Citizen
01/01/2023,['Eggs'],Young Adult
01/01/2023,"['Jam','Bread', 'Pasta']",Middle-Aged
01/01/2023,"['Insect Repellent', 'Light Bulbs', 'Tissues', 'Potatoes']",Homemaker
