Date,Product,Customer_Category,,,
01/04/2023,"['Yogurt', 'Mustard', 'Banana', 'Coffee','Biscuit']",Homemaker,,,
01/04/2023,"['Cooking Oil', 'Air Freshener', 'Onions', 'Apple', 'Pasta']",Homemaker,,,
01/04/2023,"['Milk', 'Tissues']",Middle-Aged,,,
01/04/2023,"['Rice','Dhal']",Young Adult,,,"Rice','Dhal'"
01/04/2023,"['Cooking Oil','Rice','Dhal']",Senior Citizen,,,
01/04/2023,"['Soda', 'Baby Wipes', 'Wheat Flour', 'Sugar', 'Potatoes']",Homemaker,,,
01/04/2023,"['Insect Repellent', 'Yogurt', 'Olive Oil', 'Air Freshener']",Middle-Aged,,,
01/04/2023,"['Milk','Dhal']",Middle-Aged,,,
01/04/2023,['Peanut Butter'],Senior Citizen,,,
01/04/2023,"['Plant Fertilizer', 'Banana']",Middle-Aged,,,
01/04/2023,"['Coffee','Biscuit', 'Rice','Dhal','Eggs']",Teenager,,,
01/04/2023,"['Tissues', 'Vegetables', 'Bread', 'Dish Soap']",Teenager,,,
01/04/2023,"['Power Strips', 'Spices', 'Rice','Spices', 'Diapers', 'Dishwash scrubber']",Middle-Aged,,,
01/04/2023,"['Chips', 'Milk', 'Nuts']",Homemaker,,,
01/04/2023,"['Paper Towel For Faces', 'Cereal', 'Ice Cream', 'Tomatoes', 'Jam','Bread']",Young Adult,,,
01/04/2023,"['Peanut Butter', 'Coffee','Biscuit', 'Deodorant']",Middle-Aged,,,
01/04/2023,"['Ketchup', 'Diapers']",Senior Citizen,,,
01/04/2023,"['Kambu Rice', 'Hand Sanitizer']",Teenager,,,
01/04/2023,"['Milk', 'Potatoes', 'Banana', 'Ice Cream']",Senior Citizen,,,
01/04/2023,['Saftey Razor Blade'],Senior Citizen,,,
01/04/2023,"['Mustard', 'Chocolate', 'Wheat Flour', 'Cleaning Spray','Rice','Dhal']",Senior Citizen,,,
01/04/2023,"['Sugar', 'Banana']",Young Adult,,,
01/04/2023,['Olive Oil'],Senior Citizen,,,
01/04/2023,['Kambu Rice'],Senior Citizen,,,
01/04/2023,"['Deodorant', 'Cleaner', 'Wheat Flour', 'Chips', 'Onions','Rice','Dhal']",Senior Citizen,,,
01/04/2023,"['Toothbrush', 'Black pepper', 'Feminine Hygiene Products','Paper Towel for Faces', 'Nuts', 'Cleaner']",Senior Citizen,,,
01/04/2023,"['Milk', 'Soda','Rice','Dhal']",Middle-Aged,,,
01/04/2023,"['Vinegar', 'Chips', 'Cleaning Spray','Rice','Dhal']",Young Adult,,,
01/04/2023,"['Feminine Hygiene Products','Paper Towel for Faces']",Young Adult,,,
01/04/2023,"['Cooking Oil', 'Toothpaste',  'Tongue Cleaner', 'Milk']",Young Adult,,,
01/04/2023,"['Plant Fertilizer', 'Milk', 'Vegetables']",Middle-Aged,,,
01/04/2023,"['Cereal', 'Black pepper']",Senior Citizen,,,
01/04/2023,"['Nuts','Rice','Dhal']",Teenager,,,
01/04/2023,"['Cereal Bars', 'Broom', 'Chips', 'Air Freshener', 'Dhal']",Senior Citizen,,,
01/04/2023,"['Tomatoes','paneer','Rice','Dhal']",Homemaker,,,
01/04/2023,"['Broom', 'Honey', 'Ragi Malt']",Young Adult,,,
01/04/2023,"['Soap', 'Shaving Cream', 'Eggs','Rice','Dhal']",Teenager,,,
01/04/2023,"['Shower Gel','Ice Cream']",Young Adult,,,
01/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Body wash', 'Dustpan', 'Cheese', 'Rice','Dhal']",Teenager,,,
01/04/2023,"['Saftey Razor Blade', 'Black pepper', 'Eggs', 'Tissues']",Middle-Aged,,,
01/04/2023,"['Spinach', 'Toothpaste',  'Tongue Cleaner', 'Cleaner', 'Power Strips', 'Power Strips']",Middle-Aged,,,
