Date,Product,Customer_Category
01/10/2023,"['Coconut oil', 'Laundry Detergent']",Middle-Aged
01/10/2023,"['Chocolate', 'Spinach']",Young Adult
01/10/2023,"['Vinegar', 'Mop', 'Insect Repellent', 'Peanut Butter']",Young Adult
01/10/2023,"['Juices','Chips', 'Dustpan', 'Vinegar', 'Wheat Flour','Eggs']",Middle-Aged
01/10/2023,"['Dhal', 'Insect Repellent', 'Soap', 'Wheat Rava']",Young Adult
01/10/2023,"['Honey', 'Trash Bags']",Senior Citizen
01/10/2023,"['Toilet Freshner', 'Wheat Flour']",Middle-Aged
01/10/2023,['Vinegar'],Teenager
01/10/2023,"['Laundry Detergent', 'Diapers', 'Banana', 'Dishwash scrubber']",Middle-Aged
01/10/2023,"['Hair Gel', 'Kambu Rice', 'Plant Fertilizer']",Senior Citizen
01/10/2023,['Power Strips'],Homemaker
01/10/2023,"['Spinach','Wheat Flour']",Homemaker
01/10/2023,"['Milk', 'Yogurt']",Middle-Aged
01/10/2023,"['Yogurt', 'Trash Bags', 'Broom', 'Rice','Spices', 'Wheat Flour','Shaving Cream']",Senior Citizen
01/10/2023,"['Juices','Chips']",Senior Citizen
01/10/2023,"['Wheat Flour', 'Power Strips', 'Hand Sanitizer', 'Deodorant']",Young Adult
01/10/2023,['Ice Cream'],Homemaker
01/10/2023,"['Nuts', 'Kambu Rice', 'Honey', 'Pickles']",Young Adult
01/10/2023,"['Toothbrush', 'Power Strips', 'Pasta']",Middle-Aged
01/10/2023,"['Nuts', 'Pickles', 'Dish Soap', 'Banana', 'Coconut oil']",Young Adult
01/10/2023,"['Peanut Butter', 'Pickles', 'Baby Wipes', 'Sugar', 'Hand Sanitizer']",Homemaker
01/10/2023,['Honey'],Homemaker
01/10/2023,"['Body wash', 'Honey', 'Milk']",Senior Citizen
01/10/2023,"['Light Bulbs', 'Apple', 'Wheat Flour', 'Dishwash scrubber']",Senior Citizen
01/10/2023,"['Banana', 'Ragi Malt', 'Saftey Razor Blade']",Senior Citizen
01/10/2023,"['Deodorant', 'Laundry Detergent', 'Nuts']",Middle-Aged
01/10/2023,"['Chips', 'Mustard', 'Chocolate', 'Cereal']",Teenager
01/10/2023,"['Eggs','Wheat Flour', 'Carrots']",Young Adult
01/10/2023,['Pasta'],Senior Citizen
01/10/2023,"['Cereal Bars', 'Yogurt']",Young Adult
01/10/2023,"['Pickles', 'Milk', 'Black pepper', 'Black pepper', 'Kambu Rice']",Senior Citizen
01/10/2023,['Hair Gel'],Senior Citizen
01/10/2023,"['Pickles', 'Honey']",Senior Citizen
01/10/2023,"['Dustpan', 'Paper Towel For Faces', 'Laundry Detergent']",Young Adult
01/10/2023,"['Cereal', 'Chocolate']",Middle-Aged
01/10/2023,"['Tissues', 'Dustpan']",Middle-Aged
01/10/2023,"['Wheat FLour','Vegetables,'Dhal', 'Toilet Freshner', 'Mustard', 'Tea','Biscuit']",Middle-Aged
